,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Bergen,Bergen,GPE,-0.18750000,0.50000000,en,1.00000000,1027742-0,3161732,P,60.39299000,5.32415000,EUROPE,Norway,NEU
the East China Sea,the East China Sea,LOC,0.13636364,0.50000000,en,1.00000000,,5764420,T,43.95193000,-103.55436000,NORTH-AMERICA,United States,CNA
South Africa,South Africa,GPE,0.25000000,0.56250000,en,1.00000000,4078012-0,953987,A,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Vadsø,Vadsø,GPE,0.20000000,0.40000000,en,1.00000000,4495840-7,777073,P,70.07348000,29.74943000,EUROPE,Norway,NEU
Uttar Pradesh,Uttar Pradesh,GPE,0.40000000,0.75000000,en,1.00000000,4062226-5,1253626,A,27.25000000,80.75000000,ASIA,India,SAS
South-West Norway,South-West Norway,GPE,0.00000000,0.00000000,en,1.00000000,,6629033,T,-63.01667000,-60.67500000,POLAR,Antarctica,WAN
Bø,Bø,GPE,0.00000000,0.00000000,en,1.00000000,,2410048,P,7.96472000,-11.73833000,AFRICA,Sierra Leone,WAF
South-West,South-West,LOC,-0.18750000,0.50000000,en,1.00000000,,12110881,L,32.83468000,-95.56338000,NORTH-AMERICA,United States,CNA
Ireland,Ireland,GPE,0.20000000,0.57500000,en,1.00000000,4027667-3,2963597,A,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Norge,Norge,LOC,0.20000000,0.40000000,en,1.00000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
San Francisco,San Francisco,GPE,0.06250000,0.50000000,en,1.00000000,4344631-0,3600949,P,14.08180000,-87.20681000,CENTRAL-AMERICA,Honduras,SCA
Geiteryggen,Geiteryggen,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Innlandet,Innlandet,GPE,-0.00833333,0.25833333,en,1.00000000,,12110598,A,61.43367000,10.42720000,EUROPE,Norway,NEU
Søndre Mangen,Søndre Mangen,GPE,-0.00833333,0.25833333,en,1.00000000,,9496177,S,59.95524000,11.76459000,EUROPE,Norway,NEU
Tveitsund,Tveitsund,GPE,0.00000000,0.00000000,en,1.00000000,,3133601,P,59.01877000,8.52421000,EUROPE,Norway,NEU
the Pacific island,the Pacific island,LOC,-0.20000000,0.05000000,en,1.00000000,4049848-7,5224323,A,41.75038000,-71.49978000,NORTH-AMERICA,United States,ENA
Tyinosvegen,Tyinosvegen,GPE,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Årdal,Årdal,GPE,0.00000000,0.00000000,en,1.00000000,,9403879,P,61.30886000,7.80284000,EUROPE,Norway,NEU
Wales,Wales,GPE,0.28333333,0.41666667,en,1.00000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
Arêches-Beaufort,Arêches-Beaufort,GPE,0.00000000,0.00000000,en,1.00000000,,3037109,P,45.68737000,6.56790000,EUROPE,France,WCE
Sel municipality,Sel municipality,GPE,0.00000000,0.00000000,en,1.00000000,,6361495,A,40.44187000,-1.29384000,EUROPE-AFRICA,Spain,MED
the canton of Valais,the canton of Valais,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Faroe Islands,the Faroe Islands,GPE,0.00000000,0.50000000,en,1.00000000,,2622009,T,61.98285000,-6.88293000,EUROPE,Faroe Islands,NEU
Trollheimen,Trollheimen,LOC,0.16000000,0.54000000,en,1.00000000,,3133953,T,62.85000000,9.08333000,EUROPE,Norway,NEU
Bosnia,Bosnia,GPE,-0.23333333,0.46666667,en,1.00000000,4088119-2,3277605,A,44.25000000,17.83333000,EUROPE-AFRICA,Bosnia and Herzegovina,MED
beaver huts,beaver huts,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Sørlandet,Sørlandet,GPE,0.00000000,0.00000000,en,1.00000000,4597627-2,3137468,L,58.50000000,7.50000000,EUROPE,Norway,NEU
Gjerstad,Gjerstad,GPE,0.06250000,0.61250000,en,1.00000000,,3155672,A,58.88133000,9.01917000,EUROPE,Norway,NEU
Washington D.C.,Washington D.C.,GPE,-0.12500000,0.58333333,en,1.00000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Southern Europe,Southern Europe,LOC,0.40000000,0.45000000,en,1.00000000,,0,,,,,,
the Northern Mariana Islands,the Northern Mariana Islands,LOC,0.00000000,0.00000000,en,1.00000000,4249308-0,4041468,A,15.21400000,145.75600000,PACIFIC,Northern Mariana Islands,NPO
Kaunertal,Kaunertal,GPE,0.06250000,0.50000000,en,1.00000000,10010382-0,2774594,A,47.03333000,10.75000000,EUROPE,Austria,WCE
Nusa,Nusa,GPE,0.10000000,0.40000000,en,1.00000000,,1623843,T,-8.83333000,126.00000000,ASIA,Timor Leste,SEA
Ivory Coast's,Ivory Coast's,GPE,0.00000000,0.00000000,en,1.00000000,,2285533,T,8.16855000,-7.17112000,AFRICA,Ivory Coast,WAF
the Marshall Islands,the Marshall Islands,GPE,0.00000000,0.00000000,en,1.00000000,4037700-3,2080185,A,7.11300000,171.23600000,PACIFIC,Marshall Islands,EPO
Midwest,Midwest,LOC,0.16666667,0.33333333,en,1.00000000,4074909-5,11887750,L,42.65982000,-93.93863000,NORTH-AMERICA,United States,CNA
Maiquetía,Maiquetía,GPE,0.05000000,0.15000000,en,1.00000000,1064471951,3633341,P,10.59450000,-66.95624000,SOUTH-AMERICA,Venezuela,NSA
Vestland,Vestland,GPE,0.06818182,0.22727273,en,1.00000000,,12110600,A,60.93024000,6.43261000,EUROPE,Norway,NEU
Abidjan,Abidjan,GPE,0.25000000,0.25000000,en,1.00000000,4000153-2,2293538,P,5.35444000,-4.00167000,AFRICA,Ivory Coast,WAF
Vest-Finnmark,Vest-Finnmark,GPE,0.11666667,0.42777778,en,1.00000000,,776953,T,70.88936000,25.82917000,EUROPE,Norway,NEU
Luxembourg,Luxembourg,GPE,0.22222222,0.33333333,en,1.00000000,4036728-9,2960313,A,49.75000000,6.16667000,EUROPE,Luxembourg,WCE
Nordreisa,Nordreisa,GPE,0.00000000,0.00000000,en,1.00000000,1153753448,778431,S,69.76963000,21.03308000,EUROPE,Norway,NEU
Somalia,Somalia,GPE,0.00000000,0.00000000,en,1.00000000,4077509-4,51537,A,6.00000000,48.00000000,AFRICA,Somalia,NEAF
